p,Variables in Model,AIC
1,['x3'],11.404056412675098
2,"['x1', 'x3']",-13.924977721299115
3,"['x1', 'x3', 'x9']",-23.877044315488476
4,"['x1', 'x3', 'x9', 'x7_4']",-31.354204889066537
5,"['x1', 'x3', 'x9', 'x7_4', 'x6_2']",-31.746565170933913
6,"['x1', 'x3', 'x4', 'x9', 'x7_4', 'x6_2']",-31.928968635517045
7,"['x1', 'x2', 'x3', 'x9', 'x10', 'x7_2', 'x7_4']",-31.66099142516469
8,"['x1', 'x2', 'x3', 'x4', 'x9', 'x10', 'x7_2', 'x7_4']",-31.402039316100527
9,"['x1', 'x2', 'x3', 'x4', 'x5', 'x9', 'x10', 'x7_2', 'x7_4']",-31.076384943804115
10,"['x1', 'x2', 'x3', 'x4', 'x5', 'x9', 'x10', 'x7_2', 'x7_3', 'x7_4']",-30.464445192600124
11,"['x1', 'x2', 'x3', 'x4', 'x5', 'x9', 'x10', 'x7_2', 'x7_3', 'x7_4', 'x6_2']",-29.26508967849835
