p,Variables in Model,Adjusted R_Squared
1,['x3'],0.39547586234830345
2,"['x1', 'x3']",0.5210282708383407
3,"['x1', 'x3', 'x9']",0.5651489503474688
4,"['x1', 'x3', 'x9', 'x7_4']",0.5964293621061711
5,"['x1', 'x3', 'x9', 'x7_4', 'x6_2']",0.6011910029829675
6,"['x1', 'x3', 'x4', 'x9', 'x7_4', 'x6_2']",0.6051290378574807
7,"['x1', 'x2', 'x3', 'x9', 'x10', 'x7_2', 'x7_4']",0.6074318541870598
8,"['x1', 'x2', 'x3', 'x4', 'x9', 'x10', 'x7_2', 'x7_4']",0.6097170106877813
9,"['x1', 'x2', 'x3', 'x4', 'x5', 'x9', 'x10', 'x7_2', 'x7_4']",0.6117238619154646
10,"['x1', 'x2', 'x3', 'x4', 'x5', 'x9', 'x10', 'x7_2', 'x7_3', 'x7_4']",0.6127040077632879
11,"['x1', 'x2', 'x3', 'x4', 'x5', 'x9', 'x10', 'x7_2', 'x7_3', 'x7_4', 'x6_2']",0.611630896338883
