p,Variables in Model,BIC
1,['x3'],16.858832050099778
2,"['x1', 'x3']",-5.742814265162092
3,"['x1', 'x3', 'x9']",-12.967493040639113
4,"['x1', 'x3', 'x9', 'x7_4']",-17.717265795504833
5,"['x1', 'x3', 'x9', 'x7_4', 'x6_2']",-15.382238258659868
6,"['x1', 'x3', 'x4', 'x9', 'x7_4', 'x6_2']",-12.837253904530662
7,"['x1', 'x2', 'x3', 'x9', 'x10', 'x7_2', 'x7_4']",-9.841888875465962
8,"['x1', 'x2', 'x3', 'x4', 'x9', 'x10', 'x7_2', 'x7_4']",-6.855548947689456
9,"['x1', 'x2', 'x3', 'x4', 'x5', 'x9', 'x10', 'x7_2', 'x7_4']",-3.8025067566807067
10,"['x1', 'x2', 'x3', 'x4', 'x5', 'x9', 'x10', 'x7_2', 'x7_3', 'x7_4']",-0.4631791867643784
11,"['x1', 'x2', 'x3', 'x4', 'x5', 'x9', 'x10', 'x7_2', 'x7_3', 'x7_4', 'x6_2']",3.463564146049741
