p,Variables in Model,Cp
1,['x3'],35.49298136984618
2,"['x1', 'x3']",6.452140109141965
3,"['x1', 'x3', 'x10']",5.0374134438470435
4,"['x2', 'x3', 'x4', 'x9']",3.385784987587371
5,"['x2', 'x3', 'x4', 'x9', 'x6_2']",5.113108830394609
6,"['x1', 'x3', 'x5', 'x10', 'x7_2', 'x6_2']",5.838969157060916
7,"['x2', 'x3', 'x4', 'x5', 'x9', 'x7_2', 'x6_2']",7.160136828923896
8,"['x2', 'x3', 'x4', 'x9', 'x7_2', 'x7_3', 'x7_4', 'x6_2']",8.137746119306044
9,"['x2', 'x3', 'x4', 'x5', 'x9', 'x10', 'x7_2', 'x7_3', 'x6_2']",8.133507064763336
10,"['x2', 'x3', 'x4', 'x5', 'x9', 'x10', 'x7_2', 'x7_3', 'x7_4', 'x6_2']",7.9911266295256524
11,"['x1', 'x2', 'x3', 'x4', 'x5', 'x9', 'x10', 'x7_2', 'x7_3', 'x7_4', 'x6_2']",-4.5351191790854415
