p,Variables in Model,R_Squared
1,['x3'],0.40087339929162213
2,"['x1', 'x3']",0.5295813374305133
3,"['x1', 'x3', 'x9']",0.5767967463203045
4,"['x1', 'x3', 'x9', 'x7_4']",0.6108425991738079
5,"['x1', 'x3', 'x9', 'x7_4', 'x6_2']",0.6189949760640849
6,"['x1', 'x3', 'x4', 'x9', 'x7_4', 'x6_2']",0.62628283940083
7,"['x1', 'x2', 'x3', 'x9', 'x10', 'x7_2', 'x7_4']",0.6319673633003685
8,"['x1', 'x2', 'x3', 'x4', 'x9', 'x10', 'x7_2', 'x7_4']",0.6375943670672255
9,"['x1', 'x2', 'x3', 'x4', 'x5', 'x9', 'x10', 'x7_2', 'x7_4']",0.6429246230115433
10,"['x1', 'x2', 'x3', 'x4', 'x5', 'x9', 'x10', 'x7_2', 'x7_3', 'x7_4']",0.6472840070701373
11,"['x1', 'x2', 'x3', 'x4', 'x5', 'x9', 'x10', 'x7_2', 'x7_3', 'x7_4', 'x6_2']",0.6497742904484571
