p,Variables in Model,SSE
1,['x3'],120.65200881054677
2,"['x1', 'x3']",94.73282700830298
3,"['x1', 'x3', 'x9']",85.22459632278635
4,"['x1', 'x3', 'x9', 'x7_4']",78.36844850096274
5,"['x1', 'x3', 'x9', 'x7_4', 'x6_2']",76.72672428569761
6,"['x1', 'x3', 'x4', 'x9', 'x7_4', 'x6_2']",75.2590956568303
7,"['x1', 'x2', 'x3', 'x9', 'x10', 'x7_2', 'x7_4']",74.114347240057
8,"['x1', 'x2', 'x3', 'x4', 'x9', 'x10', 'x7_2', 'x7_4']",72.98118221741069
9,"['x1', 'x2', 'x3', 'x4', 'x5', 'x9', 'x10', 'x7_2', 'x7_4']",71.90777621875722
10,"['x1', 'x2', 'x3', 'x4', 'x5', 'x9', 'x10', 'x7_2', 'x7_3', 'x7_4']",71.02988422860923
11,"['x1', 'x2', 'x3', 'x4', 'x5', 'x9', 'x10', 'x7_2', 'x7_3', 'x7_4', 'x6_2']",70.5283914026392
