Variables in Model,p,SSE,R_Squared,Adjusted R_Squared,Cp,AIC,BIC
['x1'],1,141.77384844988163,0.2959878187813707,0.2896453666983201,60.78852026382026,29.633524863792367,35.08830050121705
['x2'],1,201.37958235749846,1.1950122285053766e-06,-0.009007803230904443,132.17241419113313,69.29182689935496,74.74660253677965
['x3'],1,120.65200881054677,0.40087339929162213,0.39547586234830345,35.49298136984618,11.404056412675098,16.858832050099778
['x4'],1,159.65446438287552,0.2071973150167109,0.20005494848533,82.20236600379783,43.055519189144064,48.510294826568746
['x5'],1,171.95186826868547,0.146131595015211,0.13843908686219486,96.92975072028409,51.44042651206767,56.89520214949235
['x9'],1,141.37372358057667,0.2979747351631945,0.2916501832277276,60.30933027058214,29.314156839522102,34.76893247694679
['x10'],1,172.4226678347746,0.1437937264092366,0.13608015637688742,97.49358080983248,51.74939467628758,57.20417031371226
['x7_2'],1,201.3123302469136,0.0003351515605066746,-0.008670838065074404,132.0918729879023,69.25408346161075,74.70885909903544
['x7_3'],1,191.30981507823614,0.050005049066762286,0.04144653599529169,120.11284957861301,63.495219095223945,68.94999473264863
['x7_4'],1,201.36684922680413,6.442443861354175e-05,-0.008944004170047704,132.157164979501,69.28468173974036,74.73945737716505
['x6_2'],1,190.44430759803922,0.05430293485921778,0.045783141479570966,119.07631684745948,62.982834253643645,68.43760989106832
"['x1', 'x2']",2,139.80292392469318,0.3057749190764275,0.2931526448778171,60.428138837045935,30.051589629376117,38.23375308551314
"['x1', 'x3']",2,94.73282700830298,0.5295813374305133,0.5210282708383407,6.452140109141965,-13.924977721299115,-5.742814265162092
"['x1', 'x4']",2,128.03891363898737,0.36419194472436545,0.3526317982648085,46.339546895603036,20.118944534455025,28.301107990592048
"['x1', 'x5']",2,131.53881741377407,0.3468123298132365,0.3349361903552954,50.53103559033832,23.16630220485205,31.348465660989074
"['x1', 'x9']",2,117.30352342477154,0.41750110973323873,0.4069102208192976,33.48283150799219,10.22359808661179,18.405761542748813
"['x1', 'x10']",2,134.01142599928943,0.33453399651959637,0.3224346146381345,53.49223441167581,25.27070882679462,33.452872282931644
"['x1', 'x7_2']",2,141.77188533200945,0.29599756711585046,0.2831975228815933,62.78616923164992,31.631960161572373,39.8141236177094
"['x1', 'x7_3']",2,138.04994082243755,0.3144797787593101,0.302015774736752,58.32876430335202,28.625729082562575,36.8078925386996
